m_x,xsec
3920.0,0.5524676119198854
3930.0,0.5330726610418719
3940.0,0.5301311633289963
3950.0,0.5149850121709771
3960.0,0.49982288056063345
3970.0,0.4995073799645792
3980.0,0.48095439808554563
3990.0,0.4662577339669922
4000.0,0.46769568930886557
4010.0,0.4454261626656948
4020.0,0.4401456505955736
4030.0,0.43321498180969814
4040.0,0.41688963301520043
4050.0,0.40908657053318903
4060.0,0.41055920730193923
4070.0,0.4033133310149709
4080.0,0.38680979520209285
4090.0,0.3784659924774653
4100.0,0.3709884102034636
4110.0,0.3581283120538788
4120.0,0.35412717888816286
4130.0,0.35141723737351294
4140.0,0.3403760869666729
4150.0,0.3337276474487439
4160.0,0.3229008386670364
4170.0,0.32150809346461046
4180.0,0.3070718998323516
4190.0,0.3062236166005516
4200.0,0.2937881877499486
4210.0,0.2901806516194699
4220.0,0.28410363464714344
4230.0,0.2772098025546918
4240.0,0.27648631662552925
4250.0,0.2702605362659793
4260.0,0.2623709015700369
4270.0,0.2530730495544977
4280.0,0.2496270689331563
4290.0,0.2465157718067769
4300.0,0.24781388646882418
4310.0,0.23450648362693194
4320.0,0.22780219091799814
4330.0,0.22414815980438849
4340.0,0.21615164962453678
4350.0,0.21148121390881564
4360.0,0.21100593329456846
4370.0,0.20609492639540358
4380.0,0.2058445223148511
4390.0,0.1993428373036314
4400.0,0.18820062145923117
4410.0,0.18559729318486085
4420.0,0.1825422896147816
4430.0,0.18227245606500253
4440.0,0.17619066946808123
4450.0,0.16818574173529582
4460.0,0.17216060041071637
4470.0,0.1633913382285877
4480.0,0.16479855802877988
4490.0,0.15683195769783073
4500.0,0.15500377601747156
4510.0,0.15572476247669273
4520.0,0.14815783978513955
4530.0,0.14354641488631453
4540.0,0.14058577867589972
4550.0,0.13770783278568058
4560.0,0.13510460491862727
4570.0,0.13370832768448318
4580.0,0.13080944483545107
4590.0,0.127682905917358
4600.0,0.12289886744268992
4610.0,0.12330740090888452
4620.0,0.11953325357096932
4630.0,0.11622308762840514
4640.0,0.11432715860786884
4650.0,0.11284964560988353
4660.0,0.10907290924918882
4670.0,0.10711856490534548
4680.0,0.10298907083847643
4690.0,0.10083637261560044
4700.0,0.09975409487892443
4710.0,0.09656143827074648
4720.0,0.09495609931859436
4730.0,0.09570711379788513
4740.0,0.09045859494395121
4750.0,0.09035998893405031
4760.0,0.0869952892587793
4770.0,0.08536608247644631
4780.0,0.08439359884210562
4790.0,0.0834572867840762
4800.0,0.07979610197026488
4810.0,0.08042477269339442
4820.0,0.0778613913230124
4830.0,0.0755189345101418
4840.0,0.0737064444667221
4850.0,0.07183684141265786
4860.0,0.0695678474497899
4870.0,0.06983672328524562
4880.0,0.0674932156715395
4890.0,0.06615949694807019
4900.0,0.06655218194776527
4910.0,0.06411313370925563
4920.0,0.062271537438679615
4930.0,0.0614664644562814
4940.0,0.05938606382331527
4950.0,0.059054803093885666
4960.0,0.05703872410553225
4970.0,0.05556111768248614
4980.0,0.05524109251843932
4990.0,0.05458739303754316
5000.0,0.053105642098004606
5010.0,0.051388473421150015
5020.0,0.05026494376349683
5030.0,0.049227643541487606
5040.0,0.04860933003213001
5050.0,0.04764827907757625
