m_x,gtot
1070.0,1.0139537688785052
1080.0,1.0140420159055565
1090.0,1.0141274224902885
1100.0,1.0142101034046311
1110.0,1.0142901677554335
1120.0,1.0143677193135539
1130.0,1.0144428568210933
1140.0,1.0145156742784018
1150.0,1.0145862612123533
1160.0,1.0146547029272408
1170.0,1.0147210807395661
1180.0,1.014785472197871
1190.0,1.014847951288686
1200.0,1.0149085886295723
1210.0,1.0149674516501705
1220.0,1.015024604762077
1230.0,1.0150801095183513
1240.0,1.0151340247633265
1250.0,1.015186406773418
1260.0,1.0152373093895173
1270.0,1.0152867841415465
1280.0,1.0153348803656923
1290.0,1.015381645314802
1300.0,1.0154271242623905
1310.0,1.0154713606006784
1320.0,1.015514395933041
1330.0,1.0155562701612297
1340.0,1.0155970215677006
1350.0,1.0156366868933586
1360.0,1.0156753014109972
1370.0,1.0157128989947157
1380.0,1.0157495121855555
1390.0,1.015785172253583
1400.0,1.0158199092566453
1410.0,1.0158537520959916
1420.0,1.0158867285689606
1430.0,1.015918865418891
1440.0,1.0159501883824367
1450.0,1.0159807222344297
1460.0,1.0160104908304401
1470.0,1.0160395171471612
1480.0,1.0160678233207463
1490.0,1.0160954306832235
1500.0,1.0161223597970799
1510.0,1.0161486304881369
1520.0,1.016174261876802
1530.0,1.0161992724077888
1540.0,1.0162236798783963
1550.0,1.016247501465413
1560.0,1.0162707537507418
1570.0,1.0162934527457932
1580.0,1.0163156139147274
1590.0,1.0163372521966036
1600.0,1.0163583820264912
1610.0,1.016379017355605
1620.0,1.016399171670505
1630.0,1.0164188580114226
1640.0,1.0164380889897475
1650.0,1.0164568768047229
1660.0,1.0164752332593947
1670.0,1.0164931697758397
1680.0,1.016510697409725
1690.0,1.0165278268642195
1700.0,1.016544568503298
1710.0,1.0165609323644627
1720.0,1.0165769281709147
1730.0,1.0165925653432002
1740.0,1.0166078530103595
1750.0,1.0166228000206001
1760.0,1.016637414951516
1770.0,1.0166517061198839
1780.0,1.016665681591041
1790.0,1.0166793491878785
1800.0,1.0166927164994615
1810.0,1.016705790889297
1820.0,1.0167185795032587
1830.0,1.0167310892771964
1840.0,1.0167433269442323
1850.0,1.016755299041767
1860.0,1.0167670119182057
1870.0,1.0167784717394188
1880.0,1.0167896844949402
1890.0,1.0168006560039322
1900.0,1.0168113919209094
1910.0,1.0168218977412442
1920.0,1.016832178806457
1930.0,1.0168422403093063
1940.0,1.016852087298682
1950.0,1.0168617246843115
1960.0,1.0168711572412916
1970.0,1.0168803896144454
1980.0,1.0168894263225199
1990.0,1.016898271762225
2000.0,1.0169069302121243
2010.0,1.0169154058363807
2020.0,1.016923702688368
2030.0,1.0169318247141461
2040.0,1.0169397757558158
2050.0,1.0169475595547468
2060.0,1.0169551797546936
2070.0,1.016962639904799
2080.0,1.016969943462491
2090.0,1.0169770937962752
2100.0,1.0169840941884334
2110.0,1.0169909478376222
2120.0,1.016997657861386
2130.0,1.017004227298578
2140.0,1.0170106591117027
2150.0,1.0170169561891742
2160.0,1.0170231213474974
2170.0,1.0170291573333787
2180.0,1.0170350668257604
2190.0,1.01704085243779
2200.0,1.0170465167187208
2210.0,1.0170520621557504
2220.0,1.0170574911758021
2230.0,1.0170628061472362
2240.0,1.017068009381519
